x;y;z;group;opinion
0;9;0;1;random
0;10;0;1;random
1;8;0;1;random
1;8;1;1;random
1;9;0;1;random
1;10;0;1;random
1;11;0;1;random
1;11;1;1;random
1;11;2;1;random
1;12;0;1;random
1;12;1;1;random
1;12;2;1;random
1;13;0;1;random
1;13;1;1;random
1;14;0;1;random
1;14;1;1;random
1;14;2;-1;random
1;15;0;1;random
1;15;1;1;random
1;16;0;1;random
1;16;1;1;random
1;17;0;1;random
1;17;1;1;random
1;18;0;1;random
1;19;0;1;random
2;7;0;1;random
2;7;1;1;random
2;8;0;1;random
2;8;1;1;random
2;8;2;1;random
2;9;0;1;random
2;9;1;1;random
2;9;2;-1;random
2;10;0;1;random
2;10;1;1;random
2;11;0;1;random
2;11;1;1;random
2;11;2;1;random
2;12;0;1;random
2;12;1;1;random
2;12;2;1;random
2;13;0;1;random
2;13;1;1;random
2;13;2;1;random
2;14;0;1;random
2;14;1;1;random
2;14;2;-1;random
2;15;0;1;random
2;15;1;1;random
2;16;0;1;random
2;16;1;1;random
2;17;0;1;random
2;17;1;1;random
2;18;0;1;random
2;19;0;1;random
3;4;0;1;random
3;5;0;1;random
3;5;1;1;random
3;5;2;-1;random
3;6;0;1;random
3;6;1;1;random
3;6;2;1;random
3;7;0;1;random
3;7;1;1;random
3;7;2;1;random
3;8;0;1;random
3;8;1;1;random
3;8;2;1;random
3;9;0;1;random
3;9;1;1;random
3;9;2;1;random
3;10;0;1;random
3;10;1;1;random
3;11;0;1;random
3;11;1;1;random
3;11;2;1;random
3;11;3;-1;random
3;12;0;1;random
3;12;1;1;random
3;12;2;1;random
3;13;0;1;random
3;13;1;1;random
3;14;0;1;random
3;15;0;1;random
3;15;1;-1;random
3;16;0;1;random
3;17;0;1;random
3;17;1;1;random
3;18;0;1;random
3;19;0;1;random
4;2;0;1;random
4;2;1;1;random
4;3;0;1;random
4;3;1;1;random
4;4;0;1;random
4;4;1;1;random
4;5;0;1;random
4;5;1;1;random
4;6;0;1;random
4;6;1;1;random
4;6;2;-1;random
4;7;0;1;random
4;7;1;1;random
4;7;2;1;random
4;8;0;1;random
4;8;1;1;random
4;8;2;1;random
4;9;0;1;random
4;9;1;1;random
4;9;2;1;random
4;10;0;1;random
4;10;1;1;random
4;10;2;1;random
4;11;0;1;random
4;11;1;1;random
4;11;2;1;random
4;12;0;1;random
4;12;1;1;random
4;12;2;1;random
4;12;3;-1;random
4;13;0;1;random
4;13;1;1;random
4;13;2;1;random
4;14;0;1;random
4;14;1;1;random
4;15;0;1;random
4;16;0;1;random
4;17;0;1;random
4;17;1;-1;random
4;18;0;1;random
4;19;0;1;random
5;1;0;1;random
5;1;1;1;random
5;2;0;1;random
5;2;1;1;random
5;2;2;1;random
5;3;0;1;random
5;3;1;1;random
5;3;2;-1;random
5;4;0;1;random
5;4;1;1;random
5;5;0;1;random
5;5;1;1;random
5;6;0;1;random
5;6;1;1;random
5;7;0;1;random
5;7;1;1;random
5;8;0;1;random
5;8;1;1;random
5;8;2;1;random
5;9;0;1;random
5;9;1;1;random
5;9;2;1;random
5;9;3;-1;random
5;10;0;1;random
5;10;1;1;random
5;11;0;1;random
5;11;1;1;random
5;12;0;1;random
5;12;1;1;random
5;12;2;1;random
5;13;0;1;random
5;13;1;1;random
5;13;2;1;random
