x;y;z;group;opinion
0;10;0;1;random
0;11;0;1;random
1;8;0;1;random
1;8;1;1;random
1;9;0;1;random
1;10;0;1;random
1;11;0;1;random
1;12;0;1;random
2;8;0;1;random
2;8;1;1;random
2;9;0;1;random
2;9;1;1;random
2;10;0;1;random
2;10;1;1;random
2;11;0;1;random
2;11;1;1;random
2;11;2;-1;random
2;12;0;1;random
2;12;1;1;random
2;13;0;1;random
2;13;1;1;random
3;6;0;1;random
3;6;1;1;random
3;7;0;1;random
3;7;1;1;random
3;8;0;1;random
3;8;1;1;random
3;9;0;1;random
3;9;1;1;random
3;10;0;1;random
3;10;1;1;random
3;10;2;-1;random
3;11;0;1;random
3;11;1;1;random
3;12;0;1;random
3;12;1;1;random
3;13;0;1;random
3;13;1;1;random
3;16;0;1;random
3;16;1;1;random
3;17;0;1;random
3;17;1;1;random
3;20;0;1;random
3;21;0;1;random
4;6;0;1;random
4;6;1;1;random
4;7;0;1;random
4;7;1;1;random
4;7;2;-1;random
4;8;0;1;random
4;8;1;1;random
4;9;0;1;random
4;9;1;1;random
4;10;0;1;random
4;11;0;1;random
4;11;1;1;random
4;12;0;1;random
4;12;1;1;random
4;13;0;1;random
4;13;1;-1;random
4;15;0;1;random
4;15;1;1;random
4;16;0;1;random
4;16;1;1;random
4;17;0;1;random
4;17;1;1;random
4;18;0;1;random
4;19;0;1;random
4;20;0;1;random
4;21;0;1;random
5;5;0;1;random
5;5;1;1;random
5;6;0;1;random
5;6;1;1;random
5;7;0;1;random
5;7;1;1;random
5;7;2;-1;random
5;8;0;1;random
5;8;1;1;random
5;9;0;1;random
5;9;1;1;random
5;10;0;1;random
5;11;0;1;random
5;12;0;1;random
5;13;0;1;random
5;14;0;1;random
5;15;0;1;random
5;15;1;1;random
5;16;0;1;random
5;16;1;1;random
5;16;2;-1;random
5;17;0;1;random
5;17;1;1;random
5;18;0;1;random
5;19;0;1;random
5;20;0;1;random
5;21;0;1;random
6;5;0;1;random
6;5;1;1;random
6;6;0;1;random
6;6;1;1;random
6;6;2;-1;random
6;7;0;1;random
6;7;1;1;random
6;8;0;1;random
6;8;1;1;random
6;9;0;1;random
6;9;1;1;random
6;10;0;1;random
6;10;1;1;random
6;11;0;1;random
6;11;1;1;random
6;11;2;-1;random
6;12;0;1;random
6;12;1;1;random
6;13;0;1;random
6;14;0;1;random
6;15;0;1;random
6;16;0;1;random
6;16;1;1;random
6;17;0;1;random
6;17;1;1;random
6;18;0;1;random
6;19;0;1;random
6;20;0;1;random
7;4;0;1;random
7;4;1;1;random
7;4;2;-1;random
7;5;0;1;random
7;5;1;1;random
7;6;0;1;random
7;6;1;1;random
7;6;2;1;random
7;6;3;-1;random
7;7;0;1;random
7;7;1;1;random
7;7;2;1;random
7;8;0;1;random
7;8;1;1;random
7;8;2;1;random
7;8;3;-1;random
7;9;0;1;random
7;9;1;1;random
7;9;2;1;random
7;10;0;1;random
7;10;1;1;random
7;10;2;1;random
7;11;0;1;random
7;11;1;1;random
7;11;2;1;random
7;12;0;1;random
7;12;1;1;random
7;12;2;1;random
7;12;3;-1;random
7;13;0;1;random
7;13;1;1;random
7;13;2;1;random
7;14;0;1;random
7;14;1;1;random
7;17;0;1;random
7;17;1;1;random
7;18;0;1;random
8;3;0;1;random
8;3;1;1;random
8;4;0;1;random
8;4;1;1;random
8;4;2;-1;random
8;5;0;1;random
8;5;1;1;random
8;6;0;1;random
8;6;1;1;random
8;6;2;-1;random
8;7;0;1;random
8;7;1;1;random
8;8;0;1;random
8;8;1;1;random
8;8;2;1;random
8;8;3;-1;random
8;9;0;1;random
8;9;1;1;random
8;9;2;1;random
8;9;3;-1;random
8;10;0;1;random
8;10;1;1;random
8;10;2;1;random
8;11;0;1;random
8;11;1;1;random
8;11;2;1;random
8;11;3;1;random
8;11;4;-1;random
8;12;0;1;random
8;12;1;1;random
8;12;2;1;random
8;12;3;1;random
8;13;0;1;random
8;13;1;1;random
8;13;2;1;random
8;14;0;1;random
8;14;1;1;random
8;15;0;1;random
8;15;1;1;random
8;15;2;-1;random
9;3;0;1;random
9;3;1;1;random
9;4;0;1;random
9;4;1;1;random
9;5;0;1;random
9;5;1;1;random
9;5;2;-1;random
9;6;0;1;random
9;6;1;1;random
9;7;0;1;random
9;7;1;1;random
9;7;2;1;random
9;8;0;1;random
9;8;1;1;random
9;8;2;1;random
9;8;3;-1;random
9;9;0;1;random
9;9;1;1;random
9;9;2;1;random
9;10;0;1;random
9;10;1;1;random
9;10;2;1;random
9;10;3;1;random
9;10;4;-1;random
9;11;0;1;random
9;11;1;1;random
9;11;2;1;random
9;11;3;1;random
9;11;4;1;random
9;12;0;1;random
9;12;1;1;random
9;12;2;1;random
9;12;3;1;random
9;13;0;1;random
9;13;1;1;random
9;13;2;1;random
9;14;0;1;random
9;14;1;1;random
9;14;2;1;random
9;14;3;-1;random
9;16;0;1;random
9;16;1;1;random
9;17;0;1;random
9;17;1;1;random
10;4;0;1;random
10;5;0;1;random
10;6;0;1;random
10;6;1;1;random
10;6;2;1;random
10;6;3;1;random
10;6;4;-1;random
10;7;0;1;random
10;7;1;1;random
10;7;2;1;random
10;7;3;1;random
10;8;0;1;random
10;8;1;1;random
10;8;2;1;random
10;9;0;1;random
10;9;1;1;random
10;9;2;1;random
10;10;0;1;random
10;10;1;1;random
10;10;2;1;random
10;10;3;1;random
10;10;4;1;random
10;10;5;-1;random
10;11;0;1;random
10;11;1;1;random
10;11;2;1;random
10;11;3;1;random
10;11;4;1;random
10;12;0;1;random
10;12;1;1;random
10;12;2;1;random
10;12;3;1;random
10;13;0;1;random
10;13;1;1;random
10;13;2;1;random
10;14;0;1;random
10;14;1;1;random
10;14;2;1;random
10;15;0;1;random
10;15;1;1;random
10;15;2;1;random
10;15;3;-1;random
10;16;0;1;random
10;16;1;1;random
10;16;2;1;random
10;17;0;1;random
10;17;1;1;random
11;2;0;1;random
11;2;1;-1;random
11;3;0;1;random
11;3;1;1;random
11;4;0;1;random
11;4;1;1;random
11;5;0;1;random
11;5;1;-1;random
11;6;0;1;random
11;6;1;1;random
11;6;2;1;random
11;7;0;1;random
11;7;1;1;random
11;7;2;1;random
11;7;3;1;random
11;8;0;1;random
11;8;1;1;random
11;8;2;1;random
11;8;3;1;random
11;8;4;1;random
11;9;0;1;random
11;9;1;1;random
11;9;2;1;random
11;9;3;1;random
11;9;4;1;random
11;10;0;1;random
11;10;1;1;random
11;10;2;1;random
11;10;3;1;random
11;10;4;1;random
11;10;5;-1;random
11;11;0;1;random
11;11;1;1;random
11;11;2;1;random
11;11;3;1;random
11;11;4;1;random
11;12;0;1;random
11;12;1;1;random
11;12;2;1;random
11;12;3;1;random
11;12;4;1;random
11;14;0;1;random
11;14;1;1;random
11;14;2;1;random
11;15;0;1;random
11;15;1;1;random
11;15;2;1;random
11;16;0;1;random
11;16;1;1;random
11;16;2;1;random
11;16;3;-1;random
11;17;0;1;random
11;17;1;1;random
11;31;0;1;random
11;32;0;1;random
12;0;0;-1;random
12;1;0;1;random
12;2;0;1;random
12;2;1;-1;random
12;3;0;1;random
12;3;1;1;random
12;3;2;-1;random
12;4;0;1;random
12;4;1;1;random
12;5;0;1;random
12;6;0;1;random
12;6;1;1;random
12;6;2;1;random
12;7;0;1;random
12;7;1;1;random
12;7;2;1;random
12;7;3;1;random
12;7;4;1;random
12;8;0;1;random
12;8;1;1;random
12;8;2;1;random
12;8;3;1;random
12;8;4;1;random
12;8;5;-1;random
12;9;0;1;random
12;9;1;1;random
12;9;2;1;random
12;9;3;1;random
12;10;0;1;random
12;10;1;1;random
12;10;2;1;random
12;10;3;1;random
12;10;4;1;random
12;13;0;1;random
12;13;1;1;random
12;13;2;1;random
12;14;0;1;random
12;14;1;1;random
12;14;2;1;random
12;14;3;-1;random
12;15;0;1;random
12;15;1;1;random
12;16;0;1;random
12;16;1;1;random
12;16;2;1;random
12;17;0;1;random
12;17;1;1;random
12;30;0;1;random
12;31;0;1;random
12;31;1;-1;random
12;32;0;1;random
12;33;0;1;random
12;33;1;-1;random
12;34;0;1;random
12;34;1;-1;random
12;35;0;1;random
13;0;0;1;random
13;1;0;1;random
13;1;1;-1;random
13;2;0;1;random
13;2;1;-1;random
13;3;0;1;random
13;3;1;1;random
13;3;2;-1;random
13;4;0;1;random
13;4;1;1;random
13;5;0;1;random
13;5;1;1;random
13;6;0;1;random
13;6;1;1;random
13;6;2;1;random
13;6;3;1;random
13;6;4;1;random
13;7;0;1;random
13;7;1;1;random
13;7;2;1;random
13;7;3;1;random
13;7;4;1;random
13;8;0;1;random
13;8;1;1;random
13;8;2;1;random
13;8;3;1;random
13;8;4;-1;random
13;9;0;1;random
13;9;1;1;random
13;12;0;1;random
13;12;1;1;random
13;12;2;1;random
13;12;3;1;random
13;12;4;-1;random
13;13;0;1;random
13;13;1;1;random
13;13;2;1;random
13;13;3;1;random
13;13;4;-1;random
13;14;0;1;random
13;14;1;1;random
13;14;2;1;random
13;14;3;-1;random
13;15;0;1;random
13;15;1;1;random
13;16;0;1;random
13;16;1;1;random
13;17;0;1;random
13;18;0;1;random
13;30;0;1;random
13;31;0;1;random
13;31;1;-1;random
13;32;0;1;random
13;33;0;1;random
13;33;1;-1;random
13;34;0;1;random
13;34;1;1;random
13;34;2;-1;random
13;35;0;1;random
13;35;1;1;random
13;35;2;1;random
13;36;0;1;random
13;36;1;1;random
13;37;0;1;random
13;37;1;1;random
13;37;2;-1;random
14;0;0;1;random
14;1;0;1;random
14;2;0;1;random
14;2;1;-1;random
14;3;0;1;random
14;4;0;1;random
14;4;1;1;random
14;5;0;1;random
14;5;1;1;random
14;5;2;-1;random
14;11;0;1;random
14;11;1;1;random
14;11;2;1;random
14;11;3;1;random
14;12;0;1;random
14;12;1;1;random
14;12;2;1;random
14;12;3;1;random
14;12;4;1;random
14;12;5;-1;random
14;13;0;1;random
14;13;1;1;random
14;13;2;1;random
14;13;3;1;random
14;13;4;-1;random
14;14;0;1;random
14;14;1;1;random
14;15;0;1;random
14;15;1;1;random
14;16;0;1;random
14;16;1;1;random
14;16;2;-1;random
14;17;0;1;random
14;17;1;1;random
14;18;0;1;random
14;18;1;1;random
14;29;0;1;random
14;30;0;1;random
14;30;1;-1;random
14;31;0;1;random
14;32;0;1;random
