x;y;z;group;opinion
1;17;0;1;random
1;17;1;1;random
1;18;0;1;random
1;19;0;1;random
1;20;0;1;random
2;16;0;1;random
2;17;0;1;random
2;17;1;1;random
2;17;2;-1;random
2;18;0;1;random
2;19;0;1;random
2;20;0;1;random
2;21;0;1;random
2;21;1;-1;random
3;16;0;1;random
3;17;0;1;random
3;17;1;1;random
3;18;0;1;random
3;19;0;1;random
3;19;1;-1;random
3;20;0;1;random
3;21;0;1;random
3;22;0;1;random
3;22;1;-1;random
4;16;0;1;random
4;16;1;1;random
4;17;0;1;random
4;17;1;1;random
4;18;0;1;random
4;18;1;1;random
4;18;2;-1;random
4;19;0;1;random
4;19;1;1;random
4;20;0;1;random
4;20;1;1;random
4;20;2;-1;random
4;21;0;1;random
4;22;0;1;random
4;22;1;-1;random
4;23;0;1;random
5;16;0;1;random
5;16;1;1;random
5;16;2;1;random
5;16;3;-1;random
5;17;0;1;random
5;17;1;1;random
5;17;2;-1;random
5;18;0;1;random
5;18;1;1;random
5;18;2;-1;random
5;19;0;1;random
5;19;1;1;random
5;19;2;-1;random
5;20;0;1;random
5;20;1;1;random
5;20;2;-1;random
5;21;0;1;random
5;22;0;1;random
5;22;1;-1;random
5;23;0;1;random
5;24;0;1;random
5;24;1;-1;random
6;17;0;1;random
6;17;1;1;random
6;17;2;1;random
6;17;3;-1;random
6;18;0;1;random
6;18;1;1;random
6;18;2;-1;random
6;19;0;1;random
6;19;1;1;random
6;19;2;-1;random
6;20;0;1;random
6;21;0;1;random
6;21;1;-1;random
6;22;0;1;random
6;23;0;1;random
6;23;1;-1;random
6;24;0;1;random
6;25;0;1;random
7;15;0;1;random
7;15;1;1;random
7;15;2;1;random
7;15;3;-1;random
7;16;0;1;random
7;16;1;1;random
7;16;2;-1;random
7;17;0;1;random
7;17;1;1;random
7;17;2;-1;random
7;18;0;1;random
7;18;1;1;random
7;20;0;1;random
7;21;0;1;random
7;22;0;1;random
7;23;0;1;random
7;23;1;-1;random
7;24;0;1;random
7;25;0;1;random
7;25;1;-1;random
7;26;0;1;random
8;6;0;1;random
8;6;1;1;random
8;7;0;1;random
8;7;1;1;random
8;7;2;1;random
8;7;3;1;random
8;7;4;-1;random
8;8;0;1;random
8;8;1;1;random
8;8;2;1;random
8;8;3;1;random
8;12;0;1;random
8;12;1;1;random
8;12;2;-1;random
8;13;0;1;random
8;13;1;1;random
8;14;0;1;random
8;14;1;1;random
8;14;2;-1;random
8;15;0;1;random
8;15;1;1;random
8;16;0;1;random
8;16;1;1;random
8;16;2;-1;random
8;17;0;1;random
8;17;1;1;random
8;17;2;-1;random
8;18;0;1;random
8;18;1;1;random
8;18;2;1;random
8;18;3;-1;random
8;19;0;1;random
8;19;1;1;random
8;19;2;1;random
8;19;3;-1;random
8;20;0;1;random
8;21;0;1;random
8;21;1;-1;random
8;22;0;1;random
8;22;1;1;random
8;22;2;-1;random
8;23;0;1;random
8;23;1;1;random
8;23;2;-1;random
8;24;0;1;random
8;24;1;1;random
8;24;2;-1;random
8;25;0;1;random
8;26;0;1;random
9;5;0;1;random
9;5;1;-1;random
9;6;0;1;random
9;6;1;1;random
9;7;0;1;random
9;7;1;1;random
9;7;2;1;random
9;7;3;1;random
9;8;0;1;random
9;8;1;1;random
9;8;2;1;random
9;8;3;1;random
9;8;4;-1;random
9;11;0;1;random
9;11;1;1;random
9;12;0;1;random
9;12;1;1;random
9;12;2;-1;random
9;13;0;1;random
9;13;1;1;random
9;14;0;1;random
9;14;1;1;random
9;14;2;-1;random
9;15;0;1;random
9;15;1;1;random
9;15;2;-1;random
9;16;0;1;random
9;16;1;1;random
9;16;2;-1;random
9;17;0;1;random
9;17;1;1;random
9;17;2;1;random
9;17;3;-1;random
9;18;0;1;random
9;18;1;1;random
9;18;2;1;random
9;18;3;1;random
9;18;4;-1;random
9;19;0;1;random
9;19;1;1;random
9;19;2;1;random
9;22;0;1;random
9;22;1;1;random
9;22;2;-1;random
9;22;3;-1;random
9;23;0;1;random
9;23;1;1;random
9;23;2;-1;random
9;24;0;1;random
9;24;1;1;random
9;25;0;1;random
9;25;1;-1;random
9;26;0;1;random
10;4;0;1;random
10;4;1;1;random
10;5;0;1;random
10;5;1;1;random
10;5;2;-1;random
10;6;0;1;random
10;6;1;1;random
10;6;2;-1;random
10;7;0;1;random
10;7;1;1;random
10;7;2;1;random
10;7;3;-1;random
10;8;0;1;random
10;8;1;1;random
10;8;2;1;random
10;8;3;1;random
10;8;4;-1;random
10;10;0;1;random
10;10;1;1;random
10;11;0;1;random
10;11;1;1;random
10;11;2;-1;random
10;12;0;1;random
10;12;1;1;random
10;13;0;1;random
10;13;1;1;random
10;13;2;1;random
10;13;3;-1;random
10;14;0;1;random
10;14;1;1;random
10;14;2;-1;random
10;15;0;1;random
10;15;1;1;random
10;15;2;-1;random
10;15;3;-1;random
10;16;0;1;random
10;16;1;1;random
10;16;2;-1;random
10;16;3;-1;random
10;17;0;1;random
10;17;1;1;random
10;17;2;-1;random
10;17;3;-1;random
10;18;0;1;random
10;18;1;1;random
10;22;0;1;random
10;22;1;-1;random
10;22;2;-1;random
10;23;0;1;random
10;23;1;1;random
10;23;2;-1;random
10;24;0;1;random
10;24;1;1;random
10;24;2;-1;random
10;25;0;1;random
10;25;1;-1;random
11;3;0;1;random
11;4;0;1;random
11;4;1;-1;random
11;5;0;1;random
11;5;1;1;random
11;6;0;1;random
11;6;1;1;random
11;6;2;-1;random
11;7;0;1;random
11;7;1;1;random
11;7;2;1;random
11;7;3;-1;random
11;8;0;1;random
11;8;1;1;random
11;8;2;1;random
11;8;3;-1;random
11;10;0;1;random
11;10;1;1;random
11;10;2;-1;random
11;11;0;1;random
11;11;1;1;random
11;12;0;1;random
11;12;1;1;random
11;12;2;-1;random
11;13;0;1;random
11;13;1;1;random
11;13;2;-1;random
11;14;0;1;random
11;14;1;1;random
11;14;2;-1;random
11;15;0;1;random
11;15;1;1;random
11;15;2;-1;random
11;15;3;-1;random
11;16;0;1;random
11;16;1;1;random
11;16;2;-1;random
11;16;3;-1;random
11;17;0;1;random
11;17;1;1;random
11;17;2;-1;random
11;17;3;-1;random
11;17;4;-1;random
11;18;0;1;random
11;18;1;1;random
11;18;2;-1;random
11;18;3;-1;random
11;19;0;1;random
11;19;1;-1;random
12;1;0;1;random
12;1;1;1;random
12;1;2;-1;random
12;2;0;1;random
12;2;1;1;random
12;3;0;1;random
12;3;1;1;random
12;3;2;-1;random
12;4;0;1;random
12;5;0;1;random
12;5;1;1;random
12;5;2;-1;random
12;6;0;1;random
12;6;1;1;random
12;7;0;1;random
12;7;1;1;random
12;7;2;-1;random
12;9;0;1;random
12;9;1;1;random
12;9;2;1;random
12;10;0;1;random
12;10;1;1;random
12;10;2;1;random
12;10;3;-1;random
12;11;0;1;random
12;11;1;1;random
12;12;0;1;random
12;12;1;1;random
12;12;2;-1;random
12;13;0;1;random
12;13;1;1;random
12;13;2;-1;random
12;14;0;1;random
12;14;1;1;random
12;14;2;-1;random
12;15;0;1;random
12;15;1;1;random
12;15;2;-1;random
12;16;0;1;random
12;16;1;1;random
12;16;2;-1;random
12;17;0;1;random
12;17;1;1;random
12;17;2;-1;random
12;18;0;1;random
12;18;1;-1;random
12;19;0;1;random
12;19;1;-1;random
13;1;0;1;random
13;1;1;1;random
13;2;0;1;random
13;2;1;1;random
13;2;2;-1;random
13;3;0;1;random
13;3;1;1;random
13;4;0;1;random
13;4;1;1;random
13;4;2;-1;random
13;5;0;1;random
13;5;1;1;random
13;6;0;1;random
13;6;1;1;random
13;7;0;1;random
13;7;1;1;random
13;7;2;-1;random
13;8;0;1;random
13;8;1;1;random
13;9;0;1;random
13;9;1;1;random
13;9;2;1;random
13;9;3;-1;random
13;10;0;1;random
13;10;1;1;random
13;10;2;1;random
13;11;0;1;random
13;11;1;1;random
13;11;2;1;random
13;11;3;-1;random
13;12;0;1;random
13;12;1;1;random
13;12;2;1;random
13;12;3;-1;random
13;13;0;1;random
13;13;1;1;random
13;13;2;1;random
13;13;3;-1;random
13;14;0;1;random
13;14;1;1;random
13;14;2;-1;random
13;15;0;1;random
13;15;1;1;random
13;15;2;-1;random
13;16;0;1;random
13;16;1;1;random
13;17;0;1;random
13;17;1;1;random
13;17;2;-1;random
13;18;0;1;random
13;18;1;-1;random
13;19;0;1;random
13;19;1;-1;random
