x;y;z;group;opinion
2;45;0;1;random
2;45;1;1;random
2;46;0;1;random
2;46;1;1;random
2;47;0;1;random
2;47;1;1;random
2;47;2;1;random
2;48;0;1;random
2;48;1;1;random
2;48;2;1;random
2;49;0;1;random
2;49;1;1;random
2;49;2;1;random
2;49;3;1;random
2;49;4;-1;random
2;50;0;1;random
2;50;1;1;random
2;50;2;1;random
2;50;3;1;random
2;50;4;-1;random
2;51;0;1;random
2;51;1;1;random
2;51;2;1;random
2;51;3;-1;random
2;52;0;1;random
2;52;1;1;random
2;53;0;1;random
2;53;1;1;random
3;44;0;1;random
3;44;1;1;random
3;44;2;-1;random
3;45;0;1;random
3;45;1;1;random
3;46;0;1;random
3;46;1;1;random
3;46;2;1;random
3;47;0;1;random
3;47;1;1;random
3;47;2;1;random
3;47;3;1;random
3;48;0;1;random
3;48;1;1;random
3;48;2;1;random
3;48;3;1;random
3;48;4;-1;random
3;49;0;1;random
3;49;1;1;random
3;49;2;1;random
3;50;0;1;random
3;50;1;1;random
3;50;2;1;random
3;50;3;-1;random
3;51;0;1;random
3;51;1;1;random
3;51;2;1;random
3;51;3;-1;random
3;52;0;1;random
3;52;1;1;random
3;53;0;1;random
3;53;1;1;random
3;53;2;-1;random
3;54;0;1;random
3;54;1;1;random
4;44;0;1;random
4;44;1;1;random
4;45;0;1;random
4;45;1;1;random
4;46;0;1;random
4;46;1;1;random
4;46;2;1;random
4;47;0;1;random
4;47;1;1;random
4;47;2;1;random
4;47;3;-1;random
4;48;0;1;random
4;48;1;1;random
4;48;2;1;random
4;49;0;1;random
4;49;1;1;random
4;50;0;1;random
4;50;1;1;random
4;50;2;-1;random
4;51;0;1;random
4;51;1;1;random
4;51;2;-1;random
4;52;0;1;random
4;52;1;1;random
4;52;2;-1;random
4;53;0;1;random
4;53;1;1;random
4;54;0;1;random
4;54;1;1;random
5;43;0;1;random
5;44;0;1;random
5;44;1;1;random
5;44;2;-1;random
5;45;0;1;random
5;45;1;1;random
5;46;0;1;random
5;46;1;1;random
5;47;0;1;random
5;48;0;1;random
5;48;1;1;random
5;49;0;1;random
5;49;1;1;random
5;49;2;1;random
5;49;3;-1;random
5;50;0;1;random
5;50;1;1;random
5;50;2;1;random
5;51;0;1;random
5;51;1;1;random
5;51;2;-1;random
5;52;0;1;random
5;53;0;1;random
5;53;1;1;random
5;53;2;-1;random
5;54;0;1;random
5;54;1;1;random
6;42;0;1;random
6;42;1;1;random
6;43;0;1;random
6;43;1;1;random
6;44;0;1;random
6;44;1;1;random
6;45;0;1;random
6;45;1;1;random
6;45;2;-1;random
6;46;0;1;random
6;46;1;1;random
6;46;2;1;random
6;47;0;1;random
6;47;1;1;random
6;48;0;1;random
6;49;0;1;random
6;49;1;1;random
6;49;2;1;random
6;49;3;-1;random
6;50;0;1;random
6;50;1;1;random
6;50;2;1;random
6;51;0;1;random
6;51;1;1;random
6;51;2;-1;random
6;52;0;1;random
6;53;0;1;random
6;53;1;1;random
6;53;2;-1;random
6;54;0;1;random
6;54;1;1;random
6;55;0;1;random
6;55;1;-1;random
7;42;0;1;random
7;42;1;1;random
7;43;0;1;random
7;43;1;1;random
7;44;0;1;random
7;44;1;1;random
7;45;0;1;random
7;45;1;1;random
7;45;2;1;random
7;45;3;-1;random
7;46;0;1;random
7;46;1;1;random
7;46;2;1;random
7;46;3;1;random
7;46;4;-1;random
7;47;0;1;random
7;47;1;1;random
7;47;2;1;random
7;47;3;1;random
7;47;4;-1;random
7;48;0;1;random
7;48;1;1;random
7;48;2;1;random
7;49;0;1;random
7;49;1;1;random
7;49;2;1;random
7;49;3;-1;random
7;50;0;1;random
7;50;1;1;random
7;50;2;1;random
7;50;3;1;random
7;50;4;-1;random
7;51;0;1;random
7;51;1;1;random
7;51;2;-1;random
7;52;0;1;random
7;52;1;1;random
7;53;0;1;random
7;53;1;1;random
7;53;2;1;random
7;53;3;-1;random
7;54;0;1;random
7;54;1;1;random
7;54;2;1;random
7;54;3;-1;random
7;55;0;1;random
7;55;1;1;random
7;55;2;-1;random
8;11;0;1;random
8;12;0;1;random
8;42;0;1;random
8;42;1;1;random
8;42;2;1;random
8;43;0;1;random
8;43;1;1;random
8;43;2;1;random
8;44;0;1;random
8;44;1;1;random
8;44;2;-1;random
8;45;0;1;random
8;45;1;1;random
8;45;2;1;random
8;46;0;1;random
8;46;1;1;random
8;46;2;1;random
8;46;3;1;random
8;46;4;-1;random
8;47;0;1;random
8;47;1;1;random
8;47;2;1;random
8;47;3;1;random
8;47;4;-1;random
8;48;0;1;random
8;48;1;1;random
8;48;2;1;random
8;48;3;1;random
8;48;4;-1;random
8;49;0;1;random
8;49;1;1;random
8;49;2;1;random
8;49;3;1;random
8;49;4;-1;random
8;50;0;1;random
8;50;1;1;random
8;50;2;1;random
8;50;3;1;random
8;50;4;-1;random
8;51;0;1;random
8;51;1;1;random
8;52;0;1;random
8;52;1;-1;random
8;53;0;1;random
8;53;1;1;random
8;54;0;1;random
8;54;1;1;random
8;54;2;-1;random
8;55;0;1;random
8;55;1;1;random
8;56;0;1;random
8;56;1;-1;random
9;10;0;1;random
9;11;0;1;random
9;12;0;1;random
9;38;0;1;random
9;39;0;1;random
9;40;0;1;random
9;41;0;1;random
9;42;0;1;random
9;42;1;1;random
9;43;0;1;random
9;43;1;1;random
9;43;2;1;random
9;44;0;1;random
9;44;1;1;random
9;44;2;1;random
9;44;3;-1;random
9;45;0;1;random
9;45;1;1;random
9;45;2;1;random
9;45;3;-1;random
9;46;0;1;random
9;46;1;1;random
9;46;2;1;random
9;46;3;1;random
9;46;4;-1;random
9;47;0;1;random
9;47;1;1;random
9;47;2;1;random
9;47;3;1;random
9;47;4;1;random
9;47;5;-1;random
9;48;0;1;random
9;48;1;1;random
9;48;2;1;random
9;48;3;1;random
9;48;4;-1;random
9;49;0;1;random
9;49;1;1;random
9;49;2;1;random
9;49;3;1;random
9;49;4;-1;random
9;50;0;1;random
9;50;1;1;random
9;50;2;1;random
9;50;3;1;random
9;50;4;1;random
9;50;5;-1;random
9;51;0;1;random
9;51;1;1;random
9;51;2;1;random
9;51;3;-1;random
9;52;0;1;random
9;52;1;-1;random
9;53;0;1;random
9;54;0;1;random
9;54;1;1;random
9;54;2;-1;random
9;55;0;1;random
9;56;0;1;random
10;9;0;1;random
10;10;0;1;random
10;11;0;1;random
10;12;0;1;random
10;13;0;-1;random
10;38;0;1;random
10;39;0;1;random
10;40;0;1;random
10;40;1;1;random
10;41;0;1;random
10;41;1;1;random
10;42;0;1;random
10;42;1;1;random
10;43;0;1;random
10;43;1;1;random
10;43;2;1;random
10;44;0;1;random
10;44;1;1;random
10;44;2;1;random
10;44;3;-1;random
10;45;0;1;random
10;45;1;1;random
10;45;2;1;random
10;46;0;1;random
10;46;1;1;random
10;46;2;1;random
10;46;3;-1;random
10;47;0;1;random
10;47;1;1;random
10;47;2;1;random
10;47;3;-1;random
10;48;0;1;random
10;48;1;1;random
10;48;2;1;random
10;48;3;1;random
10;48;4;-1;random
10;49;0;1;random
10;49;1;1;random
10;49;2;1;random
10;49;3;1;random
10;49;4;1;random
10;49;5;-1;random
10;50;0;1;random
10;50;1;1;random
10;50;2;1;random
10;50;3;1;random
10;50;4;1;random
10;50;5;-1;random
10;51;0;1;random
10;51;1;1;random
10;51;2;-1;random
10;52;0;1;random
10;52;1;-1;random
10;53;0;1;random
10;54;0;1;random
10;54;1;-1;random
10;55;0;1;random
10;59;0;1;random
10;59;1;1;random
10;60;0;1;random
10;60;1;1;random
10;61;0;1;random
11;10;0;1;random
11;11;0;1;random
11;12;0;1;random
11;13;0;1;random
11;38;0;1;random
11;39;0;1;random
11;40;0;1;random
11;40;1;1;random
11;41;0;1;random
11;41;1;1;random
11;41;2;-1;random
11;42;0;1;random
11;42;1;1;random
11;43;0;1;random
11;43;1;1;random
11;44;0;1;random
11;44;1;1;random
11;44;2;1;random
11;45;0;1;random
11;45;1;1;random
11;45;2;1;random
11;45;3;-1;random
11;46;0;1;random
11;46;1;1;random
11;47;0;1;random
11;47;1;1;random
11;48;0;1;random
11;48;1;1;random
11;48;2;1;random
11;48;3;-1;random
11;49;0;1;random
11;49;1;1;random
11;49;2;1;random
11;49;3;1;random
11;50;0;1;random
11;50;1;1;random
11;50;2;1;random
11;50;3;1;random
11;51;0;1;random
11;51;1;1;random
11;51;2;-1;random
11;58;0;1;random
11;58;1;1;random
11;59;0;1;random
11;59;1;1;random
11;60;0;1;random
11;60;1;1;random
11;61;0;1;random
11;61;1;1;random
11;62;0;1;random
11;62;1;1;random
11;64;0;1;random
12;10;0;1;random
12;11;0;1;random
12;12;0;1;random
12;13;0;1;random
12;14;0;1;random
12;37;0;1;random
12;37;1;1;random
12;37;2;-1;random
12;38;0;1;random
12;38;1;1;random
12;39;0;1;random
12;39;1;1;random
12;39;2;1;random
12;40;0;1;random
12;40;1;1;random
12;40;2;1;random
12;41;0;1;random
12;41;1;1;random
12;41;2;1;random
12;42;0;1;random
12;42;1;1;random
12;43;0;1;random
12;43;1;1;random
12;44;0;1;random
12;44;1;1;random
12;45;0;1;random
12;45;1;1;random
12;45;2;1;random
12;45;3;-1;random
12;46;0;1;random
12;46;1;1;random
12;47;0;1;random
12;47;1;1;random
12;47;2;1;random
12;47;3;-1;random
12;48;0;1;random
12;48;1;1;random
12;57;0;1;random
12;58;0;1;random
12;58;1;1;random
12;59;0;1;random
12;59;1;1;random
12;60;0;1;random
12;60;1;1;random
12;61;0;1;random
12;61;1;1;random
12;61;2;-1;random
12;62;0;1;random
12;62;1;1;random
12;63;0;1;random
12;63;1;1;random
12;64;0;1;random
12;65;0;1;random
12;66;0;1;random
13;9;0;1;random
13;10;0;1;random
13;11;0;1;random
13;12;0;1;random
13;13;0;1;random
13;14;0;1;random
13;37;0;1;random
13;37;1;1;random
13;37;2;1;random
13;38;0;1;random
13;38;1;1;random
13;39;0;1;random
13;39;1;1;random
13;39;2;1;random
13;39;3;1;random
13;39;4;-1;random
13;40;0;1;random
13;40;1;1;random
13;40;2;1;random
13;40;3;1;random
13;41;0;1;random
13;41;1;1;random
13;41;2;1;random
13;41;3;1;random
13;42;0;1;random
13;42;1;1;random
13;42;2;1;random
13;42;3;1;random
13;43;0;1;random
13;43;1;1;random
13;43;2;1;random
13;45;0;1;random
13;45;1;1;random
13;45;2;1;random
13;45;3;-1;random
13;46;0;1;random
13;46;1;1;random
13;47;0;1;random
13;57;0;1;random
13;58;0;1;random
13;58;1;1;random
13;59;0;1;random
13;59;1;1;random
13;60;0;1;random
13;60;1;1;random
13;60;2;1;random
13;60;3;-1;random
13;61;0;1;random
13;61;1;1;random
13;61;2;1;random
13;62;0;1;random
13;62;1;1;random
13;63;0;1;random
13;63;1;1;random
13;64;0;1;random
13;64;1;1;random
13;65;0;1;random
13;66;0;1;random
14;9;0;1;random
14;9;1;-1;random
14;10;0;1;random
14;11;0;1;random
14;12;0;1;random
14;14;0;1;random
14;37;0;1;random
14;37;1;1;random
14;37;2;1;random
14;37;3;1;random
14;37;4;1;random
14;37;5;1;random
14;37;6;1;random
14;38;0;1;random
14;38;1;1;random
14;38;2;1;random
14;38;3;1;random
14;38;4;1;random
14;38;5;1;random
14;38;6;-1;random
14;39;0;1;random
14;39;1;1;random
14;39;2;1;random
14;39;3;1;random
14;39;4;1;random
14;39;5;1;random
14;40;0;1;random
14;40;1;1;random
14;40;2;1;random
14;40;3;1;random
14;40;4;1;random
14;40;5;1;random
14;40;6;-1;random
14;41;0;1;random
14;41;1;1;random
14;41;2;1;random
14;41;3;1;random
14;42;0;1;random
14;42;1;1;random
14;42;2;1;random
14;43;0;1;random
14;58;0;1;random
14;58;1;1;random
14;58;2;1;random
14;59;0;1;random
14;59;1;1;random
14;59;2;1;random
14;59;3;1;random
14;59;4;-1;random
14;60;0;1;random
14;60;1;1;random
14;60;2;1;random
14;60;3;1;random
14;61;0;1;random
14;61;1;1;random
14;61;2;1;random
14;62;0;1;random
14;62;1;1;random
14;62;2;-1;random
14;63;0;1;random
14;64;0;1;random
14;64;1;1;random
14;65;0;1;random
15;13;0;1;random
15;14;0;1;random
15;15;0;1;random
15;29;0;1;random
15;29;1;1;random
15;29;2;1;random
15;29;3;-1;random
15;29;4;-1;random
15;29;5;-1;random
15;30;0;1;random
15;30;1;1;random
15;30;2;1;random
15;30;3;-1;random
15;30;4;-1;random
15;31;0;1;random
15;31;1;1;random
15;31;2;-1;random
15;35;0;1;random
15;35;1;1;random
15;35;2;1;random
15;36;0;1;random
15;36;1;1;random
15;36;2;-1;random
15;37;0;1;random
15;37;1;1;random
15;37;2;1;random
15;37;3;1;random
15;37;4;1;random
15;37;5;1;random
15;38;0;1;random
15;38;1;1;random
15;38;2;1;random
15;38;3;1;random
15;38;4;1;random
15;38;5;1;random
15;38;6;1;random
15;38;7;-1;random
15;39;0;1;random
15;39;1;1;random
15;39;2;1;random
15;39;3;1;random
15;39;4;1;random
15;39;5;1;random
15;39;6;1;random
15;39;7;-1;random
15;40;0;1;random
15;40;1;1;random
15;40;2;1;random
15;40;3;1;random
15;40;4;1;random
15;40;5;-1;random
15;41;0;1;random
15;41;1;1;random
15;41;2;1;random
15;41;3;1;random
15;41;4;1;random
15;42;0;1;random
15;42;1;1;random
15;42;2;1;random
15;42;3;1;random
15;53;0;1;random
15;53;1;1;random
15;54;0;1;random
15;54;1;1;random
15;57;0;1;random
15;57;1;1;random
15;57;2;-1;random
15;58;0;1;random
15;58;1;1;random
15;59;0;1;random
15;59;1;1;random
15;59;2;1;random
15;59;3;-1;random
15;60;0;1;random
15;60;1;1;random
15;60;2;1;random
15;60;3;-1;random
15;61;0;1;random
15;61;1;1;random
15;62;0;1;random
15;62;1;1;random
15;63;0;1;random
15;63;1;-1;random
15;64;0;1;random
15;65;0;1;random
16;4;0;1;random
16;13;0;1;random
16;14;0;1;random
16;14;1;1;random
16;15;0;1;random
16;15;1;1;random
16;24;0;1;random
16;24;1;1;random
16;24;2;-1;random
16;25;0;1;random
16;25;1;1;random
16;25;2;1;random
16;25;3;-1;random
16;26;0;1;random
16;26;1;1;random
