x;y;z;group;opinion
6;6;0;1;random
6;6;1;1;random
6;6;2;1;random
7;3;0;1;random
7;3;1;1;random
7;3;2;1;random
7;3;3;1;random
7;3;4;1;random
7;4;0;1;random
7;4;1;1;random
7;4;2;1;random
7;4;3;1;random
7;5;0;1;random
7;5;1;1;random
7;5;2;1;random
7;5;3;1;random
7;6;0;1;random
7;6;1;1;random
7;6;2;1;random
7;6;3;1;random
7;7;0;1;random
7;7;1;1;random
7;7;2;1;random
7;7;3;1;random
7;8;0;1;random
7;8;1;1;random
7;8;2;1;random
7;8;3;1;random
7;8;4;1;random
7;9;0;1;random
7;9;1;1;random
7;9;2;1;random
7;9;3;1;random
7;10;0;1;random
7;10;1;1;random
7;10;2;1;random
7;10;3;1;random
7;10;4;1;random
8;3;0;1;random
8;3;1;1;random
8;3;2;1;random
8;3;3;1;random
8;3;4;1;random
8;4;0;1;random
8;4;1;1;random
8;4;2;1;random
8;4;3;1;random
8;5;0;1;random
8;5;1;1;random
8;5;2;1;random
8;5;3;1;random
8;6;0;1;random
8;6;1;1;random
8;6;2;1;random
8;6;3;1;random
8;6;4;-1;random
8;7;0;1;random
8;7;1;1;random
8;7;2;1;random
8;7;3;1;random
8;7;4;1;random
8;8;0;1;random
8;8;1;1;random
8;8;2;1;random
8;9;0;1;random
8;9;1;1;random
8;9;2;1;random
8;10;0;1;random
8;10;1;1;random
8;10;2;1;random
8;10;3;1;random
8;10;4;1;random
8;11;0;1;random
8;11;1;1;random
8;11;2;1;random
8;11;3;1;random
9;2;0;1;random
9;2;1;1;random
9;2;2;1;random
9;2;3;1;random
9;3;0;1;random
9;3;1;1;random
9;3;2;1;random
9;3;3;1;random
9;3;4;-1;random
9;5;0;1;random
9;5;1;1;random
9;5;2;1;random
9;5;3;1;random
9;5;4;1;random
9;6;0;1;random
9;6;1;1;random
9;6;2;1;random
9;6;3;1;random
9;6;4;1;random
9;6;5;1;random
9;6;6;1;random
9;7;0;1;random
9;7;1;1;random
9;7;2;1;random
9;7;3;1;random
9;7;4;1;random
9;7;5;1;random
9;7;6;1;random
9;8;0;1;random
9;8;1;1;random
9;8;2;1;random
9;8;3;1;random
9;8;4;1;random
9;9;0;1;random
9;9;1;1;random
9;9;2;1;random
9;9;3;1;random
9;9;4;1;random
9;10;0;1;random
9;10;1;1;random
9;10;2;1;random
9;10;3;1;random
9;10;4;1;random
9;10;5;-1;random
9;11;0;1;random
9;11;1;1;random
9;11;2;1;random
9;11;3;1;random
9;12;0;1;random
9;12;1;1;random
9;12;2;1;random
9;12;3;1;random
10;0;0;1;random
10;0;1;1;random
10;0;2;1;random
10;0;3;1;random
10;1;0;1;random
10;1;1;1;random
10;1;2;1;random
10;1;3;1;random
10;2;0;1;random
10;2;1;1;random
10;2;2;1;random
10;2;3;1;random
10;2;4;-1;random
10;3;0;1;random
10;3;1;1;random
10;3;2;1;random
10;3;3;1;random
10;4;0;1;random
10;4;1;1;random
10;4;2;1;random
10;4;3;1;random
10;5;0;1;random
10;5;1;1;random
10;5;2;1;random
10;5;3;1;random
10;5;4;1;random
10;5;5;1;random
10;5;6;1;random
10;6;0;1;random
10;6;1;1;random
10;6;2;1;random
10;6;3;1;random
10;6;4;1;random
10;6;5;1;random
10;6;6;1;random
10;6;7;1;random
10;7;0;1;random
10;7;1;1;random
10;7;2;1;random
10;7;3;1;random
10;7;4;1;random
10;7;5;1;random
10;7;6;1;random
10;7;7;1;random
10;7;8;1;random
10;8;0;1;random
10;8;1;1;random
10;8;2;1;random
10;8;3;1;random
10;8;4;1;random
10;8;5;1;random
10;8;6;1;random
10;8;7;1;random
10;9;0;1;random
10;9;1;1;random
10;9;2;1;random
10;9;3;1;random
10;9;4;1;random
10;9;5;1;random
10;9;6;1;random
10;10;0;1;random
10;10;1;1;random
10;10;2;1;random
10;10;3;1;random
10;10;4;1;random
10;10;5;-1;random
10;11;0;1;random
10;11;1;1;random
10;11;2;1;random
10;11;3;1;random
10;12;0;1;random
10;12;1;1;random
10;12;2;1;random
11;0;0;1;random
11;0;1;1;random
11;0;2;1;random
11;0;3;1;random
11;1;0;1;random
11;1;1;1;random
11;1;2;1;random
11;1;3;1;random
11;2;0;1;random
11;2;1;1;random
11;2;2;1;random
11;2;3;1;random
11;2;4;1;random
11;3;0;1;random
11;3;1;1;random
11;3;2;1;random
11;3;3;1;random
11;4;0;1;random
11;4;1;1;random
11;4;2;1;random
11;4;3;1;random
11;4;4;1;random
11;4;5;-1;random
11;5;0;1;random
11;5;1;1;random
11;5;2;1;random
11;5;3;1;random
11;6;0;1;random
11;6;1;1;random
11;6;2;1;random
11;6;3;1;random
11;6;4;1;random
11;7;0;1;random
11;7;1;1;random
11;7;2;1;random
11;7;3;1;random
11;7;4;1;random
11;7;5;1;random
11;7;6;1;random
11;8;0;1;random
11;8;1;1;random
11;8;2;1;random
11;8;3;1;random
11;8;4;1;random
11;8;5;1;random
11;8;6;1;random
11;8;7;1;random
11;8;8;1;random
11;8;9;1;random
11;9;0;1;random
11;9;1;1;random
11;9;2;1;random
11;9;3;1;random
11;9;4;1;random
11;9;5;1;random
11;9;6;1;random
11;10;0;1;random
11;10;1;1;random
11;10;2;1;random
11;10;3;1;random
11;11;0;1;random
11;11;1;1;random
11;11;2;1;random
11;11;3;1;random
12;0;0;1;random
12;0;1;1;random
12;0;2;1;random
12;0;3;1;random
12;1;0;1;random
12;1;1;1;random
12;1;2;1;random
12;1;3;1;random
12;1;4;1;random
12;2;0;1;random
12;2;1;1;random
12;2;2;1;random
12;2;3;1;random
12;2;4;1;random
12;2;5;1;random
12;3;0;1;random
12;3;1;1;random
12;3;2;1;random
12;3;3;1;random
12;3;4;1;random
12;3;5;1;random
12;4;0;1;random
12;4;1;1;random
12;4;2;1;random
12;4;3;1;random
12;4;4;1;random
12;4;5;1;random
12;4;6;-1;random
12;5;0;1;random
12;5;1;1;random
12;5;2;1;random
12;5;3;1;random
12;6;0;1;random
12;6;1;1;random
12;6;2;1;random
12;6;3;1;random
12;7;0;1;random
12;7;1;1;random
12;7;2;1;random
12;7;3;1;random
12;7;4;1;random
12;8;0;1;random
12;8;1;1;random
12;8;2;1;random
12;8;3;1;random
12;8;4;1;random
12;9;0;1;random
12;9;1;1;random
12;9;2;1;random
12;10;0;1;random
12;10;1;1;random
12;10;2;1;random
12;11;0;1;random
12;11;1;1;random
13;0;0;1;random
13;0;1;1;random
13;0;2;1;random
13;0;3;1;random
13;1;0;1;random
13;1;1;1;random
13;1;2;1;random
13;1;3;1;random
13;2;0;1;random
13;2;1;1;random
13;2;2;1;random
13;2;3;1;random
13;2;4;1;random
13;3;0;1;random
13;3;1;1;random
13;3;2;1;random
13;3;3;1;random
13;3;4;1;random
13;4;0;1;random
13;4;1;1;random
13;4;2;1;random
13;4;3;1;random
13;4;4;-1;random
13;5;0;1;random
13;5;1;1;random
13;5;2;1;random
13;5;3;1;random
13;5;4;1;random
13;6;0;1;random
13;6;1;1;random
13;6;2;1;random
13;6;3;1;random
13;7;0;1;random
13;7;1;1;random
13;7;2;1;random
13;8;0;1;random
13;8;1;1;random
13;8;2;1;random
13;9;0;1;random
13;9;1;1;random
13;9;2;1;random
13;10;0;1;random
13;10;1;1;random
13;10;2;1;random
13;11;0;1;random
13;11;1;1;random
14;2;0;1;random
14;2;1;1;random
14;2;2;1;random
14;2;3;1;random
14;3;0;1;random
14;3;1;1;random
14;3;2;1;random
14;4;0;1;random
14;4;1;1;random
14;4;2;1;random
14;4;3;1;random
14;5;0;1;random
14;5;1;1;random
14;5;2;1;random
14;5;3;1;random
14;5;4;1;random
14;6;0;1;random
14;6;1;1;random
14;6;2;1;random
14;6;3;1;random
14;6;4;1;random
14;7;0;1;random
14;7;1;1;random
14;7;2;1;random
14;7;3;1;random
14;8;0;1;random
14;8;1;1;random
14;8;2;1;random
14;8;3;1;random
14;9;0;1;random
14;9;1;1;random
14;9;2;1;random
14;9;3;1;random
14;9;4;1;random
14;10;0;1;random
14;10;1;1;random
14;10;2;1;random
14;10;3;1;random
15;3;0;1;random
15;3;1;1;random
15;3;2;1;random
15;3;3;1;random
15;4;0;1;random
15;4;1;1;random
15;4;2;1;random
15;4;3;1;random
15;5;0;1;random
15;5;1;1;random
15;5;2;1;random
15;5;3;1;random
15;5;4;1;random
15;6;0;1;random
15;6;1;1;random
15;6;2;1;random
15;6;3;1;random
15;6;4;1;random
15;6;5;1;random
15;6;6;-1;random
15;7;0;1;random
15;7;1;1;random
15;7;2;1;random
15;7;3;1;random
15;7;4;1;random
15;8;0;1;random
15;8;1;1;random
15;8;2;1;random
15;8;3;1;random
15;9;0;1;random
15;9;1;1;random
15;9;2;1;random
15;9;3;1;random
15;9;4;1;random
15;10;0;1;random
15;10;1;1;random
15;10;2;1;random
15;10;3;1;random
15;10;4;1;random
16;1;0;1;random
16;1;1;1;random
16;1;2;1;random
16;2;0;1;random
16;2;1;1;random
16;2;2;1;random
16;3;0;1;random
16;3;1;1;random
16;3;2;1;random
16;3;3;1;random
16;4;0;1;random
16;4;1;1;random
16;5;0;1;random
16;5;1;1;random
16;6;0;1;random
16;6;1;1;random
16;6;2;1;random
16;7;0;1;random
16;7;1;1;random
16;7;2;1;random
16;7;3;1;random
16;7;4;-1;random
16;8;0;1;random
16;8;1;1;random
16;8;2;1;random
17;1;0;1;random
17;1;1;1;random
17;1;2;1;random
17;2;0;1;random
17;2;1;1;random
17;2;2;1;random
