x;y;z;group;opinion
33;140;0;1;random
33;141;0;1;random
34;139;0;1;random
34;140;0;1;random
34;141;0;1;random
35;139;0;1;random
35;140;0;1;random
36;135;0;1;random
36;135;1;-1;random
36;136;0;1;random
36;137;0;1;random
36;138;0;1;random
36;139;0;1;random
36;140;0;1;random
36;141;0;1;random
36;141;1;-1;random
36;142;0;1;random
36;143;0;1;random
37;135;0;1;random
37;136;0;1;random
37;137;0;1;random
37;138;0;1;random
37;139;0;1;random
37;139;1;-1;random
37;140;0;1;random
37;141;0;1;random
37;142;0;1;random
37;143;0;1;random
38;135;0;1;random
38;135;1;-1;random
38;136;0;1;random
38;137;0;1;random
38;138;0;1;random
38;139;0;1;random
38;140;0;1;random
38;141;0;1;random
38;141;1;-1;random
38;142;0;1;random
38;143;0;1;random
39;135;0;1;random
39;136;0;1;random
39;137;0;1;random
39;138;0;1;random
39;138;1;-1;random
39;139;0;1;random
39;140;0;1;random
39;141;0;1;random
39;142;0;1;random
40;136;0;1;random
40;136;1;-1;random
40;137;0;1;random
40;138;0;1;random
40;139;0;1;random
40;140;0;1;random
40;140;1;-1;random
41;137;0;1;random
41;138;0;1;random
41;138;1;-1;random
41;139;0;1;random
42;138;0;1;random
42;138;1;-1;random
42;139;0;1;random
42;140;0;1;random
43;135;0;1;random
43;136;0;1;random
43;136;1;-1;random
43;137;0;1;random
43;140;0;1;random
44;135;0;1;random
44;135;1;1;random
44;136;0;1;random
44;137;0;1;random
44;137;1;-1;random
44;138;0;1;random
44;138;1;-1;random
44;139;0;1;random
44;140;0;1;random
45;133;0;1;random
45;134;0;1;random
45;135;0;1;random
45;135;1;-1;random
45;136;0;1;random
45;137;0;1;random
45;138;0;1;random
45;138;1;-1;random
45;138;2;-1;random
45;139;0;1;random
45;139;1;-1;random
45;140;0;1;random
46;132;0;1;random
46;132;1;1;random
46;132;2;1;random
46;133;0;1;random
46;133;1;1;random
46;134;0;1;random
46;134;1;1;random
46;135;0;1;random
46;137;0;1;random
46;137;1;-1;random
46;137;2;-1;random
